0:0:30 - 0:0:31: I'm sorry.
0:0:31 - 0:0:32: No worries.
0:0:32 - 0:0:33: Bye.
0:0:33 - 0:0:38: So, you've been working with Fergie for the past week?
0:0:38 - 0:0:39: Yes.
0:0:39 - 0:0:40: Yes, yes.
0:0:40 - 0:0:41: Yes.
0:0:41 - 0:0:55: I'm going to turn the screen on, Fabi.
0:0:55 - 0:1:0: Yes, yes, yes.
0:1:0 - 0:1:5: Yes, yes, yes.
0:1:5 - 0:1:6: Yes.
0:1:6 - 0:1:7: Yes.
0:1:7 - 0:1:8: Yes.
0:1:8 - 0:1:9: Yes.
0:1:9 - 0:1:10: Yes.
0:1:10 - 0:1:11: Yes.
0:1:11 - 0:1:12: Yes.
0:1:12 - 0:1:13: Yes.
0:1:13 - 0:1:14: Yes.
0:1:14 - 0:1:15: Yes.
0:1:15 - 0:1:16: Yes.
0:1:16 - 0:1:17: Yes.
0:1:17 - 0:1:18: Yes.
0:1:18 - 0:1:19: Yes.
0:1:19 - 0:1:20: Yes.
0:1:20 - 0:1:21: Yes.
0:1:21 - 0:1:22: Yes.
0:1:22 - 0:1:23: Yes.
0:1:23 - 0:1:24: Yes.
0:1:24 - 0:1:25: Yes.
0:1:25 - 0:1:26: Yes.
0:1:26 - 0:1:27: Yes.
0:1:27 - 0:1:28: Yes.
0:1:28 - 0:1:29: Yes.
0:1:29 - 0:1:30: Yes.
0:1:30 - 0:1:31: Yes.
0:1:31 - 0:1:32: Yes.
0:1:32 - 0:1:33: Yes.
0:1:33 - 0:1:34: Yes.
0:1:34 - 0:1:35: Yes.
0:1:35 - 0:1:36: Yes.
0:1:36 - 0:1:37: Yes.
0:1:37 - 0:1:38: Yes.
0:1:38 - 0:1:39: Yes.
0:1:39 - 0:1:40: Yes.
0:1:40 - 0:1:41: Yes.
0:1:41 - 0:1:42: Yes.
0:1:42 - 0:1:43: Yes.
0:1:43 - 0:1:44: Yes.
0:1:44 - 0:1:45: Yes.
0:1:45 - 0:1:46: Yes.
0:1:46 - 0:1:47: Yes.
0:1:47 - 0:1:48: Yes.
0:1:48 - 0:1:49: Yes.
0:1:49 - 0:1:50: Yes.
0:1:50 - 0:1:51: Yes.
0:1:51 - 0:1:52: Yes.
0:1:52 - 0:1:53: Yes.
0:1:53 - 0:1:54: Yes.
0:1:54 - 0:1:55: Yes.
0:1:55 - 0:1:56: Yes.
0:1:56 - 0:1:57: Yes.
0:1:57 - 0:1:58: Yes.
0:1:58 - 0:1:59: Yes.
0:1:59 - 0:2:0: Yes.
0:2:0 - 0:2:1: Yes.
0:2:1 - 0:2:2: Yes.
0:2:2 - 0:2:3: Yes.
0:2:3 - 0:2:4: Yes.
0:2:4 - 0:2:5: Yes.
0:2:5 - 0:2:6: Yes.
0:2:6 - 0:2:7: Yes.
0:2:7 - 0:2:8: Yes.
0:2:8 - 0:2:9: Yes.
0:2:9 - 0:2:10: Yes.
0:2:10 - 0:2:11: Yes.
0:2:11 - 0:2:12: Yes.
0:2:12 - 0:2:13: Yes.
0:2:13 - 0:2:14: Yes.
0:2:14 - 0:2:15: Yes.
0:2:15 - 0:2:16: Yes.
0:2:16 - 0:2:17: Yes.
0:2:17 - 0:2:18: Yes.
0:2:18 - 0:2:19: Yes.
0:2:19 - 0:2:20: Yes.
0:2:20 - 0:2:21: Yes.
0:2:21 - 0:2:22: Yes.
0:2:22 - 0:2:23: Yes.
0:2:23 - 0:2:24: Yes.
0:2:24 - 0:2:25: Yes.
0:2:25 - 0:2:26: Yes.
0:2:26 - 0:2:27: Yes.
0:2:27 - 0:2:28: Yes.
0:2:28 - 0:2:29: Yes.
0:2:29 - 0:2:30: Yes.
0:2:30 - 0:2:31: Yes.
0:2:31 - 0:2:32: Yes.
0:2:32 - 0:2:33: Yes.
0:2:33 - 0:2:34: Yes.
0:2:34 - 0:2:35: Yes.
0:2:35 - 0:2:36: Yes.
0:2:36 - 0:2:37: Yes.
0:2:37 - 0:2:38: Yes.
0:2:38 - 0:2:39: Yes.
0:2:39 - 0:2:40: Yes.
0:2:40 - 0:2:41: Yes.
0:2:41 - 0:2:42: Yes.
0:2:42 - 0:2:43: Yes.
0:2:43 - 0:2:44: Yes.
0:2:44 - 0:2:45: Yes.
0:2:45 - 0:2:46: Yes.
0:2:46 - 0:2:47: Yes.
0:2:47 - 0:2:48: Yes.
0:2:48 - 0:2:49: Yes.
0:2:49 - 0:2:50: Yes.
0:2:50 - 0:2:51: Yes.
0:2:51 - 0:2:52: Yes.
0:2:52 - 0:2:53: Yes.
0:2:53 - 0:2:54: Yes.
0:2:54 - 0:2:55: Yes.
0:2:55 - 0:2:56: Yes.
0:2:56 - 0:2:57: Yes.
0:2:57 - 0:2:58: Yes.
0:2:58 - 0:2:59: Yes.
0:2:59 - 0:3:0: Yes.
0:3:0 - 0:3:1: Yes.
0:3:1 - 0:3:2: Yes.
0:3:2 - 0:3:3: Yes.
0:3:3 - 0:3:4: Yes.
0:3:4 - 0:3:5: Yes.
0:3:5 - 0:3:6: Yes.
0:3:6 - 0:3:7: Yes.
0:3:7 - 0:3:8: Yes.
0:3:8 - 0:3:9: Yes.
0:3:9 - 0:3:10: Yes.
0:3:10 - 0:3:11: Yes.
0:3:11 - 0:3:12: Yes.
0:3:12 - 0:3:13: Yes.
0:3:13 - 0:3:14: Yes.
0:3:14 - 0:3:15: Yes.
0:3:15 - 0:3:16: Yes.
0:3:16 - 0:3:17: Yes.
0:3:17 - 0:3:18: Yes.
0:3:18 - 0:3:19: Yes.
0:3:19 - 0:3:20: Yes.
0:3:20 - 0:3:21: Yes.
0:3:21 - 0:3:22: Yes.
0:3:22 - 0:3:23: Yes.
0:3:23 - 0:3:24: Yes.
0:3:24 - 0:3:25: Yes.
0:3:25 - 0:3:26: Yes.
0:3:26 - 0:3:27: Yes.
0:3:27 - 0:3:28: Yes.
0:3:28 - 0:3:29: Yes.
0:3:29 - 0:3:30: Yes.
0:3:30 - 0:3:31: Yes.
0:3:31 - 0:3:32: Yes.
0:3:32 - 0:3:33: Yes.
0:3:33 - 0:3:34: Yes.
0:3:34 - 0:3:35: Yes.
0:3:35 - 0:3:36: Yes.
0:3:36 - 0:3:37: Yes.
0:3:37 - 0:3:38: Yes.
0:3:38 - 0:3:39: Yes.
0:3:39 - 0:3:40: Yes.
0:3:40 - 0:3:41: Yes.
0:3:41 - 0:3:42: Yes.
0:3:42 - 0:3:43: Yes.
0:3:43 - 0:3:44: Yes.
0:3:44 - 0:3:45: Yes.
0:3:45 - 0:3:46: Yes.
0:3:46 - 0:3:47: Yes.
0:3:47 - 0:3:48: Yes.
0:3:48 - 0:3:49: Yes.
0:3:49 - 0:3:50: Yes.
0:3:50 - 0:3:51: Yes.
0:3:51 - 0:3:52: Yes.
0:3:52 - 0:3:53: Yes.
0:3:53 - 0:3:54: Yes.
0:3:54 - 0:3:55: Yes.
0:3:55 - 0:3:56: Yes.
0:3:56 - 0:3:57: Yes.
0:3:57 - 0:3:58: Yes.
0:3:58 - 0:3:59: Yes.
0:3:59 - 0:4:0: Yes.
0:4:0 - 0:4:1: Yes.
0:4:1 - 0:4:2: Yes.
0:4:2 - 0:4:3: Yes.
0:4:3 - 0:4:4: Yes.
0:4:4 - 0:4:5: Yes.
0:4:5 - 0:4:6: Yes.
0:4:6 - 0:4:7: Yes.
0:4:7 - 0:4:8: Yes.
0:4:8 - 0:4:9: Yes.
0:4:9 - 0:4:10: Yes.
0:4:10 - 0:4:11: Yes.
0:4:11 - 0:4:12: Yes.
0:4:12 - 0:4:13: Yes.
0:4:13 - 0:4:14: Yes.
0:4:14 - 0:4:15: Yes.
0:4:15 - 0:4:16: Yes.
0:4:16 - 0:4:17: Yes.
0:4:17 - 0:4:18: Yes.
0:4:18 - 0:4:19: Yes.
0:4:19 - 0:4:20: Yes.
0:4:20 - 0:4:21: Yes.
0:4:21 - 0:4:22: Yes.
0:4:22 - 0:4:23: Yes.
0:4:23 - 0:4:24: Yes.
0:4:24 - 0:4:25: Yes.
0:4:25 - 0:4:26: Yes.
0:4:26 - 0:4:27: Yes.
0:4:27 - 0:4:28: Yes.
0:4:28 - 0:4:29: Yes.
0:4:29 - 0:4:30: Yes.
0:4:30 - 0:4:31: Yes.
0:4:31 - 0:4:32: Yes.
0:4:32 - 0:4:33: Yes.
0:4:33 - 0:4:39: That would be on their part. They continue with the issue of hiring staff.
0:4:39 - 0:4:52: And they are also asked to sign a plan of action because if we do this, the deviation we have with them is 15% in the golden time.
0:4:52 - 0:5:1: So they are formally asked to sign a plan of action to be able to overcome those deviations that we have.
0:5:1 - 0:5:8: So, in their contract, nothing was stipulated regarding that deviation in the formalization?
0:5:8 - 0:5:20: No, in our contract we stipulate because they are also issues of us while we review policies from the area of contracts and all that.
0:5:20 - 0:5:30: So, let's say it's like part by part, while here they were answered, while they were modifying what was requested, and all that.
0:5:30 - 0:5:35: Because, for example, let's say that the Radicon Demora, in which they were presenting a policy of responsibility,
0:5:35 - 0:5:40: if they had a general contract, the one they had to cover the entire company,
0:5:40 - 0:5:45: here they were reviewing if that policy could be approved or not.
0:5:45 - 0:5:53: So they requested that among the beneficiaries of that policy, they include Caribe Mar and all the protocol there.
0:5:53 - 0:5:56: So let's say that happened a lot, like two months.
0:5:56 - 0:6:2: I went on vacation, I came back, I had not started the contract yet.
0:6:2 - 0:6:10: So that was one of the reasons, and the other one was that they were asking me about that.
0:6:10 - 0:6:16: But let's say that our plan of action is to see what, because there are different qualities, like a control of changes,
0:6:16 - 0:6:22: and then have mapped what they are presenting there, and that is formalized.
0:6:22 - 0:6:37: According to the UNHCR, the delay was basically due to the issue of the cell and the engineering.
